Date,DayOfWeek,S&P500,Gold_Close,Bitcoin_Close,Ethereum_Close
2017-01-06,5,2276.98,1171.9000244140625,902.2009887695312,10.254699707
2017-01-09,1,2268.9,1183.5,902.8280029296876,10.3255996704
2017-01-10,2,2268.9,1184.199951171875,907.6790161132812,10.5495996475
2017-01-11,3,2275.32,1195.5999755859375,777.7570190429688,9.7177600861
2017-01-12,4,2270.44,1198.9000244140625,804.833984375,9.8613300323
2017-01-13,5,2274.64,1195.300048828125,823.9840087890625,9.7694997787
2017-01-17,2,2267.89,1212.0,907.93798828125,10.3023004532
2017-01-18,3,2271.89,1211.300048828125,886.6179809570312,10.2278003693
2017-01-19,4,2263.69,1200.9000244140625,899.072998046875,10.3971996307
2017-01-20,5,2271.31,1204.300048828125,895.0260009765625,10.6006002426
2017-01-23,1,2265.2,1215.0,921.0120239257812,10.8207998276
2017-01-24,2,2280.07,1210.300048828125,892.68701171875,10.6324996948
2017-01-25,3,2298.37,1197.300048828125,901.5419921875,10.5705003738
2017-01-26,4,2296.68,1189.5,917.5859985351562,10.589099884
2017-01-27,5,2294.69,1188.0999755859375,919.75,10.5373001099
2017-01-30,1,2280.9,1193.199951171875,920.3820190429688,10.5712003708
2017-01-31,2,2278.87,1208.5999755859375,970.4030151367188,10.7274999619
2017-02-01,3,2279.55,1205.5999755859375,989.0230102539062,10.7320995331
2017-02-02,4,2280.85,1216.699951171875,1011.7999877929688,10.8213996887
2017-02-03,5,2297.42,1218.5,1029.9100341796875,11.1145000458
2017-02-06,1,2292.56,1230.0,1038.1500244140625,11.3893995285
2017-02-07,2,2293.08,1234.199951171875,1061.3499755859375,11.5152997971
2017-02-08,3,2294.67,1237.5999755859375,1063.0699462890625,11.4312000275
2017-02-09,4,2307.87,1235.0999755859375,994.3829956054688,11.0321998596
2017-02-10,5,2316.1,1234.4000244140625,988.6740112304688,11.2789001465
2017-02-13,1,2328.25,1224.4000244140625,990.6420288085938,11.2694997787
2017-02-14,2,2337.58,1223.9000244140625,1004.5499877929688,13.0251998901
2017-02-15,3,2349.25,1231.699951171875,1007.47998046875,12.9196996689
2017-02-16,4,2347.22,1240.0,1027.43994140625,12.9036998749
2017-02-17,5,2351.16,1237.5999755859375,1046.2099609375,12.6765003204
2017-02-21,2,2365.38,1237.5,1115.300048828125,12.6683998108
2017-02-22,3,2362.82,1232.0,1117.43994140625,12.5996999741
2017-02-23,4,2363.81,1250.199951171875,1166.719970703125,13.1194000244
2017-02-24,5,2367.34,1256.9000244140625,1173.6800537109375,13.0691995621
2017-02-27,1,2369.75,1257.4000244140625,1179.969970703125,15.3964996338
2017-02-28,2,2363.64,1252.5999755859375,1179.969970703125,15.817199707
2017-03-01,3,2395.96,1248.9000244140625,1222.5,17.3497009277
2017-03-02,4,2381.92,1231.9000244140625,1251.010009765625,19.0301990509
2017-03-03,5,2383.12,1225.5,1274.989990234375,19.4589996338
2017-03-06,1,2375.31,1224.5,1272.8299560546875,19.6056995392
2017-03-07,2,2368.39,1215.0999755859375,1223.5400390625,18.8885993958
2017-03-08,3,2362.98,1208.5,1150.0,16.6513004303
2017-03-09,4,2364.87,1202.4000244140625,1188.489990234375,17.754699707
2017-03-10,5,2372.6,1200.699951171875,1116.719970703125,19.3323001862
2017-03-13,1,2373.47,1202.4000244140625,1231.9200439453125,28.5928993225
2017-03-14,2,2365.45,1201.9000244140625,1240.0,28.6546001434
2017-03-15,3,2385.26,1200.0999755859375,1249.6099853515625,35.0559005737
2017-03-16,4,2381.38,1226.5,1187.81005859375,46.3457984924
2017-03-17,5,2378.25,1229.800048828125,1100.22998046875,46.827999115
2017-03-20,1,2373.47,1233.5999755859375,1054.22998046875,43.3902015686
2017-03-21,2,2344.02,1246.0999755859375,1120.5400390625,43.1450996399
2017-03-22,3,2348.45,1249.300048828125,1049.1400146484375,42.3420982361
2017-03-23,4,2345.96,1246.9000244140625,1038.5899658203125,43.6783981323
2017-03-24,5,2343.98,1248.199951171875,937.52001953125,53.1074981689
2017-03-27,1,2341.59,1255.4000244140625,1045.77001953125,49.6669006348
2017-03-28,2,2358.57,1255.300048828125,1047.1500244140625,50.7748985291
2017-03-29,3,2361.13,1253.4000244140625,1039.969970703125,53.1260986328
2017-03-30,4,2368.06,1245.0,1026.4300537109375,52.2057991028
2017-03-31,5,2362.72,1247.300048828125,1071.7900390625,50.0373001099
2017-04-03,1,2358.84,1250.800048828125,1143.81005859375,44.3563995361
2017-04-04,2,2360.16,1255.0,1133.25,44.6418991089
2017-04-05,3,2352.95,1245.4000244140625,1124.780029296875,45.3040008545
2017-04-06,4,2357.49,1250.300048828125,1182.6800537109375,43.242099762
2017-04-07,5,2355.54,1254.300048828125,1176.9000244140625,42.1626014709
2017-04-10,1,2357.16,1251.0999755859375,1187.1300048828125,43.4351997375
2017-04-11,2,2353.78,1271.199951171875,1205.010009765625,43.4071998596
2017-04-12,3,2344.93,1275.300048828125,1200.3699951171875,46.2873001099
2017-04-13,4,2328.95,1285.9000244140625,1169.280029296875,50.2193984985
2017-04-17,1,2349.01,1289.4000244140625,1193.9100341796875,48.304599762
2017-04-18,2,2342.19,1291.699951171875,1211.6700439453125,50.7075004578
2017-04-19,3,2338.17,1281.4000244140625,1210.2900390625,48.3053016663
2017-04-20,4,2355.84,1281.9000244140625,1229.0799560546875,49.6721992493
2017-04-21,5,2348.69,1287.4000244140625,1222.050048828125,48.2243995667
2017-04-24,1,2374.15,1275.800048828125,1250.1500244140625,50.03150177
2017-04-25,2,2388.61,1265.5999755859375,1265.489990234375,49.8912010193
2017-04-26,3,2387.45,1262.0999755859375,1281.0799560546875,52.7202987671
2017-04-27,4,2388.77,1263.699951171875,1317.72998046875,62.1677017212
2017-04-28,5,2384.2,1266.0999755859375,1316.47998046875,70.1592025757
2017-05-01,1,2388.33,1253.300048828125,1421.5999755859375,76.2969970703
